Connecting to Binance...

Last 10 BTC 15m Candles (Binance):
Time (Local)              Open       Close      Color 
------------------------------------------------------------
2025-12-11 22:30:00       91124.59   91370.0    GREEN 
2025-12-11 22:45:00       91370.0    90839.81   RED   
2025-12-11 23:00:00       90839.81   91356.17   GREEN 
2025-12-11 23:15:00       91356.17   91055.16   RED   
2025-12-11 23:30:00       91055.17   91573.46   GREEN 
2025-12-11 23:45:00       91573.46   91792.99   GREEN 
2025-12-12 00:00:00       91792.98   92461.4    GREEN 
2025-12-12 00:15:00       92461.4    93280.01   GREEN 
2025-12-12 00:30:00       93280.0    93174.36   RED   
2025-12-12 00:45:00       93174.37   93012.69   RED   
